Subdomain,IP,Cloudflare
partners.tesla.com,23.52.180.57,false
pay.tesla.com,23.52.180.57,false
pm-bounces.tesla.com,3.136.201.194,false
powerhub.energy.tesla.com,23.201.252.155,false
profile.tesla.com,23.52.180.57,false
ptr1.tesla.com,117.50.35.199,false
ptr2.tesla.com,117.50.14.178,false
pub.email.tesla.com,136.147.129.35,false
ranger-api.tesla.com,23.52.180.57,false
reassignment-ui.tesla.com,23.52.180.57,false
repair.tesla.com,23.52.180.57,false
roadside.tesla.com,23.52.180.57,false
roadsideinvoice.tesla.com,23.52.180.57,false
robotaxi-app-feedback-eng.tesla.com,92.123.104.21,false
robotaxi-app-feedback-prd.tesla.com,92.123.104.27,false
s3.eng.na.vn.cloud.tesla.com,66.17.12.21,false
s3.prd.na.vn.cloud.tesla.com,66.17.10.65,false
sales-prd.tesla.com,23.52.180.57,false
sc-cppm.tesla.com,199.46.37.187,false
sc-eu-cppm.tesla.com,2.16.72.221,false
schedule.tesla.com,23.52.180.57,false
secure-static-assets.tesla.com,23.52.180.57,false
secureguest.tesla.com,23.52.180.57,false
secureguestcn.tesla.com,211.147.80.227,false
sentry-api.ops.na.vn.cloud.tesla.com,66.17.10.105,false
service.tesla.com,23.52.180.57,false
serviceapi-stg.tesla.com,23.52.180.57,false
serviceapi.tesla.com,23.52.180.57,false
serviceapp.tesla.com,23.56.202.52,false
share.tesla.com,209.133.79.61,false
shop.eu.tesla.com,205.234.27.221,false
shop.tesla.com,23.52.180.57,false
signaling-robotics.eng.usw.vn.cloud.tesla.com,66.17.10.53,false
signaling-robotics.eng.vn.cloud.tesla.com,66.17.10.53,false
sin05-gpgw1.tesla.com,199.120.53.30,false
sjc36-gpgw1.tesla.com,199.120.49.30,false
solarbonds.tesla.com,23.52.180.57,false
sso-dev-origin.tesla.com,209.133.79.66,false
sso-dev.tesla.com,23.52.180.57,false
sso.tesla.com,23.52.180.57,false
sspr.tesla.com,23.52.180.57,false
stage-traffic-flow-test.tesla.com,23.52.180.57,false
static-assets-pay.tesla.com,23.52.180.57,false
static-assets-teslaaccount.tesla.com,23.52.180.57,false
static-assets.tesla.com,23.52.180.57,false
static-map.tesla.com,23.52.180.57,false
static.tesla.com,23.52.180.57,false
staticpay-origin-wwwcdn.tesla.com,209.133.79.52,false
stg-uc-twilio-bpm-webhook.tesla.com,23.52.180.57,false
syd14-gpgw1.tesla.com,199.120.32.30,false
tcc-graph-stg.tesla.com,23.52.180.57,false
tcc-graph.tesla.com,23.52.180.57,false
tcc-gw-stg.tesla.com,23.52.180.57,false
tcc-gw.tesla.com,23.52.180.57,false
teamchat.tesla.com,23.52.180.57,false
teamchatcn.tesla.com,209.133.79.102,false
teamchatgl.tesla.com,209.133.79.102,false
tesla-hermes-snapshot-motors-eng.s3.eng.na.vn.cloud.tesla.com,66.17.12.21,false
tesla-hermes-snapshot-motors.eng.usw.vn.cloud.tesla.com,66.17.10.54,false
tesla-hermes-snapshot-motors.s3.prd.na.vn.cloud.tesla.com,66.17.10.65,false
teslacmgap01.tesla.com,20.44.215.54,false
teslacmgcn01.tesla.com,20.239.26.4,false
teslacmgeu01.tesla.com,20.76.242.91,false
teslacmgna01.tesla.com,20.253.219.41,false
teslacmgus01.tesla.com,20.66.127.201,false
teslamezcal.tesla.com,18.66.112.14,false
teslatequila.tesla.com,23.52.180.57,false
testnotify.tesla.com,205.234.27.221,false
tf-poc.tesla.com,146.75.123.52,false
toolbox.tesla.com,23.52.180.57,false
track.tesla.com,23.52.180.57,false
tradepartnertickets.tesla.com,23.52.180.57,false
tripx-alpha.prd.vn.cloud.tesla.com,66.17.10.65,false
tripx.eng.usw2.vn.cloud.tesla.com,66.17.12.21,false
tripx.prd.usw.vn.cloud.tesla.com,66.17.10.65,false
tripx.prd.vn.cloud.tesla.com,66.17.10.65,false
trt.tesla.com,23.52.180.57,false
uicrashtracer.tesla.com,23.52.180.57,false
url1894.tesla.com,54.216.50.79,false
url2547.tesla.com,18.158.228.216,false
url4104.tesla.com,18.158.228.216,false
url4211.tesla.com,46.51.200.92,false
url4857.tesla.com,18.158.228.216,false
url5196.tesla.com,18.158.228.216,false
url5347.tesla.com,3.79.130.38,false
url6661.tesla.com,46.51.200.92,false
url7051.tesla.com,23.52.180.57,false
url8833.tesla.com,18.158.228.216,false
vehicle-files.eng.euw1.vn.cloud.tesla.com,92.123.104.42,false
vehicle-files.eng.usw2.vn.cloud.tesla.com,92.123.104.30,false
vehicle-files.prd.euw1.vn.cloud.tesla.com,92.123.104.9,false
vehicle-files.prd.usw2.vn.cloud.tesla.com,92.123.104.52,false
view.email.tesla.com,136.147.129.32,false
view.emails.tesla.com,13.111.49.179,false
vmanage-alerts.tesla.com,23.52.180.57,false
vpn2.tesla.com,8.47.24.215,false
warehouse.tesla.com,23.52.180.57,false
wire.tesla.com,104.75.4.211,false
workforce.tesla.com,23.52.180.57,false
www.engage.tesla.com,52.222.236.101,false
www.tesla.com,23.52.180.57,false
x3-eng.obs.tesla.com,66.17.20.3,false
x3-prod.obs.tesla.com,66.17.22.2,false
x3.obs.tesla.com,149.106.216.6,false
xapps.tesla.com,204.74.99.100,false
xmail.tesla.com,204.74.99.100,false
